2019/04/15 00:50:23 [error] 578#578: *2051 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 00:50:28 [error] 578#578: *2054 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 00:50:33 [error] 578#578: *2057 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:01:34 [error] 578#578: *2202 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:01:40 [error] 578#578: *2205 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:01:46 [error] 578#578: *2208 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:01:52 [error] 578#578: *2211 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:01:58 [error] 578#578: *2214 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:04 [error] 578#578: *2217 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:10 [error] 578#578: *2220 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:16 [error] 578#578: *2223 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:22 [error] 578#578: *2226 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:28 [error] 578#578: *2229 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:34 [error] 578#578: *2232 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:41 [error] 578#578: *2235 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:47 [error] 578#578: *2238 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:53 [error] 578#578: *2241 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:02:59 [error] 578#578: *2244 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:03:06 [error] 578#578: *2247 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
